repo_name,repo_link,stars,language,topic_name,description
amphp / amp,https://github.com/amphp/amp,4.3k,PHP,Amp,A non-blocking concurrency framework for PHP applications. 🐘
danog / MadelineProto,https://github.com/danog/MadelineProto,3k,PHP,Amp,Async PHP client API for the telegram MTProto protocol
amphp / parallel,https://github.com/amphp/parallel,809,PHP,Amp,"An advanced parallelization library for PHP, enabling efficient multitasking, optimizing resource use, and application responsiveness through multiple CPU threads."
unreal4u / telegram-api,https://github.com/unreal4u/telegram-api,795,PHP,Amp,Complete async capable Telegram bot API implementation for PHP7
amphp / http-client,https://github.com/amphp/http-client,713,PHP,Amp,"An advanced async HTTP client library for PHP, enabling efficient, non-blocking, and concurrent requests and responses."
amphp / byte-stream,https://github.com/amphp/byte-stream,378,PHP,Amp,A non-blocking stream abstraction for PHP based on Amp.
amphp / mysql,https://github.com/amphp/mysql,370,PHP,Amp,"An async MySQL client for PHP, optimizing database interactions with efficient non-blocking capabilities. Perfect for responsive, high-performance applications."
php-service-bus / service-bus,https://github.com/php-service-bus/service-bus,347,PHP,Amp,PHP Service Bus (publish-subscribe pattern) implementation
amphp / parallel-functions,https://github.com/amphp/parallel-functions,272,PHP,Amp,Simplified parallel processing for PHP based on Amp.
xtrime-ru / TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,263,PHP,Amp,Convert telegram posts to RSS or json in amphp server
amphp / socket,https://github.com/amphp/socket,244,PHP,Amp,Non-blocking socket and TLS functionality for PHP based on Amp.
amphp / process,https://github.com/amphp/process,239,PHP,Amp,An async process dispatcher for Amp.
amphp / sync,https://github.com/amphp/sync,172,PHP,Amp,Non-blocking synchronization primitives for PHP based on Amp and Revolt.
amphp / dns,https://github.com/amphp/dns,171,PHP,Amp,Async DNS resolution for PHP based on Amp.
amphp / redis,https://github.com/amphp/redis,163,PHP,Amp,"Efficient asynchronous communication with Redis servers, enabling scalable and responsive data storage and retrieval."
amphp / websocket-client,https://github.com/amphp/websocket-client,152,PHP,Amp,Async WebSocket client for PHP based on Amp.
amphp / serialization,https://github.com/amphp/serialization,120,PHP,Amp,Serialization tools for IPC and data storage in PHP.
kelunik / acme,https://github.com/kelunik/acme,120,PHP,Amp,Async ACME library written in PHP based on the Amp concurrency framework.
amphp / websocket-server,https://github.com/amphp/websocket-server,119,PHP,Amp,WebSocket component for PHP based on the Amp HTTP server.
amphp / cache,https://github.com/amphp/cache,110,PHP,Amp,A fiber-aware cache API based on Amp and Revolt.
public-apis / public-apis,https://github.com/public-apis/public-apis,335k,Python,API,A collective list of free APIs
neovim / neovim,https://github.com/neovim/neovim,88.2k,Vim Script,API,Vim-fork focused on extensibility and usability
fastapi / fastapi,https://github.com/fastapi/fastapi,82.7k,Python,API,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
hoppscotch / hoppscotch,https://github.com/hoppscotch/hoppscotch,70.7k,TypeScript,API,Open source API development ecosystem -
flutter / flutter,https://github.com/flutter/flutter,169k,Dart,Android,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
strapi / strapi,https://github.com/strapi/strapi,65.9k,TypeScript,API,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first."
ocornut / imgui,https://github.com/ocornut/imgui,64.3k,C++,API,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies
meilisearch / meilisearch,https://github.com/meilisearch/meilisearch,50k,Rust,API,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.
QuivrHQ / quivr,https://github.com/QuivrHQ/quivr,37.6k,Python,API,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want."
facebook / react-native,https://github.com/facebook/react-native,121k,C++,Android,A framework for building native applications using React
Genymobile / scrcpy,https://github.com/Genymobile/scrcpy,120k,C,Android,Display and control your Android device
justjavac / free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113k,Unknown,Android,📚 免费的计算机编程类中文书籍，欢迎投稿
trpc / trpc,https://github.com/trpc/trpc,36.7k,TypeScript,API,🧙‍♀️ Move Fast and Break Nothing. End-to-end typesafe APIs made easy.
slatedocs / slate,https://github.com/slatedocs/slate,36.1k,SCSS,API,Beautiful static documentation for your API
Kong / insomnia,https://github.com/Kong/insomnia,35.9k,JavaScript,API,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage."
Hack-with-Github / Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,90.7k,Unknown,Android,"A collection of various awesome lists for hackers, pentesters and security researchers"
Solido / awesome-flutter,https://github.com/Solido/awesome-flutter,55.3k,Dart,Android,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more."
tldr-pages / tldr,https://github.com/tldr-pages/tldr,54.5k,Markdown,Android,📚 Collaborative cheatsheets for console commands
wasabeef / awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,52k,Unknown,Android,A curated list of awesome Android UI/UX libraries
bregman-arie / devops-exercises,https://github.com/bregman-arie/devops-exercises,72.6k,Python,Ansible,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
ccxt / ccxt,https://github.com/ccxt/ccxt,35.4k,Python,API,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges
httpie / cli,https://github.com/httpie/cli,35.2k,Python,API,"🥧 HTTPie CLI — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more."
hasura / graphql-engine,https://github.com/hasura/graphql-engine,31.4k,TypeScript,API,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events."
mudler / LocalAI,https://github.com/mudler/LocalAI,31.3k,Go,API,"🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference"
